n_cut,k_cut,sigma,energy,madelung,time,memory
9,20,3.0204081632653065e-11,-5.7188185071692605e-18,-1.7475645946370526,43.90578317642212,4.4140625
9,21,3.0204081632653065e-11,-5.71881850715854e-18,-1.7475645946337768,50.633888244628906,6.05078125
9,22,3.0204081632653065e-11,-5.718818507158714e-18,-1.7475645946338298,57.15567398071289,6.890625
9,23,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,64.66909456253052,8.41796875
9,24,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,72.61956572532654,10.05859375
5,5,5.0408163265306126e-11,-5.719825898876942e-18,-1.7478724348105201,1.491605520248413,0.0
5,6,5.0408163265306126e-11,-5.7198258988769704e-18,-1.7478724348105286,1.976398229598999,0.0
5,7,5.0408163265306126e-11,-5.718822579084565e-18,-1.7475658389386528,2.619374990463257,0.00390625
5,8,5.0408163265306126e-11,-5.718822579084484e-18,-1.747565838938628,3.545657157897949,0.0
5,9,5.0408163265306126e-11,-5.71881851223172e-18,-1.7475645961840462,4.68535590171814,0.0
5,10,5.0408163265306126e-11,-5.718818512231638e-18,-1.7475645961840214,6.079688310623169,0.0
5,11,5.0408163265306126e-11,-5.718818507158183e-18,-1.7475645946336678,7.775732755661011,0.0
5,12,5.0408163265306126e-11,-5.718818507158216e-18,-1.7475645946336777,9.883373260498047,0.1171875
5,13,5.0408163265306126e-11,-5.718818507156366e-18,-1.7475645946331124,12.191424131393433,0.32421875
5,14,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,14.774528741836548,0.40234375
5,15,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,18.408751010894775,0.26953125
5,16,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,21.774881601333618,0.56640625
5,17,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,26.556703805923462,0.83203125
5,18,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,30.726272106170654,2.109375
5,19,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,36.12354874610901,2.703125
5,20,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,40.813469648361206,3.81640625
5,21,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,47.31974387168884,5.60546875
5,22,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,55.38315391540527,6.2890625
5,23,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,62.10867667198181,7.83984375
5,24,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,70.57985877990723,9.43359375
6,5,5.0408163265306126e-11,-5.719825898876942e-18,-1.7478724348105201,1.9568135738372803,0.0
6,6,5.0408163265306126e-11,-5.7198258988769704e-18,-1.7478724348105286,2.413255214691162,0.0
6,7,5.0408163265306126e-11,-5.718822579084565e-18,-1.7475658389386528,3.1300501823425293,0.0
6,8,5.0408163265306126e-11,-5.718822579084484e-18,-1.747565838938628,4.277151107788086,0.0
6,9,5.0408163265306126e-11,-5.71881851223172e-18,-1.7475645961840462,5.4380927085876465,0.0
6,10,5.0408163265306126e-11,-5.718818512231638e-18,-1.7475645961840214,6.606733560562134,0.0
6,11,5.0408163265306126e-11,-5.718818507158183e-18,-1.7475645946336678,8.246028184890747,0.0
6,12,5.0408163265306126e-11,-5.718818507158216e-18,-1.7475645946336777,10.250852346420288,0.18359375
6,13,5.0408163265306126e-11,-5.718818507156366e-18,-1.7475645946331124,12.94663143157959,0.3203125
6,14,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,15.629933595657349,0.40625
6,15,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,19.368850231170654,0.265625
6,16,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,21.95146870613098,0.56640625
6,17,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,26.427468299865723,0.796875
6,18,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,31.923990726470947,2.08203125
6,19,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,36.988160848617554,2.78515625
6,20,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,42.30069327354431,3.80859375
6,21,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,47.61698079109192,5.65625
6,22,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,54.11298680305481,6.4765625
6,23,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,61.156206369400024,7.75
6,24,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,99.00807738304138,9.4296875
7,5,5.0408163265306126e-11,-5.719825898876942e-18,-1.7478724348105201,4.9962170124053955,0.0
7,6,5.0408163265306126e-11,-5.7198258988769704e-18,-1.7478724348105286,5.352239608764648,0.0
7,7,5.0408163265306126e-11,-5.718822579084565e-18,-1.7475658389386528,6.3299033641815186,0.0
7,8,5.0408163265306126e-11,-5.718822579084484e-18,-1.747565838938628,8.13260269165039,0.0
7,9,5.0408163265306126e-11,-5.71881851223172e-18,-1.7475645961840462,10.07219934463501,0.0
7,10,5.0408163265306126e-11,-5.718818512231638e-18,-1.7475645961840214,12.52716875076294,0.0
